t,x,y,z
0.697,3.49903,0,1.25765
0.698,3.50401,0,1.25573
0.699,3.509,0,1.25381
0.7,3.51399,0,1.25187
0.701,3.51897,0,1.24993
0.702,3.52396,0,1.24798
0.703,3.52894,0,1.24601
0.704,3.53393,0,1.24404
0.705,3.53892,0,1.24205
0.706,3.5439,0,1.24006
0.707,3.54889,0,1.23806
0.708,3.55387,0,1.23604
0.709,3.55886,0,1.23402
0.71,3.56384,0,1.23199
0.711,3.56883,0,1.22995
0.712,3.57381,0,1.22789
0.713,3.5788,0,1.22583
0.714,3.58378,0,1.22376
0.715,3.58877,0,1.22168
0.716,3.59375,0,1.21959
0.717,3.59874,0,1.21748
0.718,3.60372,0,1.21537
0.719,3.60871,0,1.21325
0.72,3.61369,0,1.21112
0.721,3.61867,0,1.20898
0.722,3.62366,0,1.20683
0.723,3.62864,0,1.20467
0.724,3.63362,0,1.2025
0.725,3.63861,0,1.20032
0.726,3.64359,0,1.19813
0.727,3.64857,0,1.19593
0.728,3.65356,0,1.19372
0.729,3.65854,0,1.1915
0.73,3.66352,0,1.18927
0.731,3.66851,0,1.18703
0.732,3.67349,0,1.18478
0.733,3.67847,0,1.18252
0.734,3.68346,0,1.18025
0.735,3.68844,0,1.17797
0.736,3.69342,0,1.17568
0.737,3.6984,0,1.17338
0.738,3.70338,0,1.17108
0.739,3.70837,0,1.16876
0.74,3.71335,0,1.16643
0.741,3.71833,0,1.16409
0.742,3.72331,0,1.16175
0.743,3.72829,0,1.15939
0.744,3.73328,0,1.15702
0.745,3.73826,0,1.15464
0.746,3.74324,0,1.15226
0.747,3.74822,0,1.14986
0.748,3.7532,0,1.14745
0.749,3.75818,0,1.14504
0.75,3.76316,0,1.14261
0.751,3.76814,0,1.14017
0.752,3.77312,0,1.13773
0.753,3.7781,0,1.13527
0.754,3.78308,0,1.13281
0.755,3.78806,0,1.13033
0.756,3.79304,0,1.12785
0.757,3.79802,0,1.12535
0.758,3.803,0,1.12285
0.759,3.80798,0,1.12033
0.76,3.81296,0,1.11781
0.761,3.81794,0,1.11527
0.762,3.82292,0,1.11273
0.763,3.8279,0,1.11018
0.764,3.83288,0,1.10761
0.765,3.83786,0,1.10504
0.766,3.84284,0,1.10245
0.767,3.84782,0,1.09986
0.768,3.8528,0,1.09726
0.769,3.85778,0,1.09464
0.77,3.86276,0,1.09202
0.771,3.86773,0,1.08939
0.772,3.87271,0,1.08675
0.773,3.87769,0,1.08409
0.774,3.88267,0,1.08143
0.775,3.88765,0,1.07876
0.776,3.89262,0,1.07608
0.777,3.8976,0,1.07339
0.778,3.90258,0,1.07068
0.779,3.90756,0,1.06797
0.78,3.91254,0,1.06525
0.781,3.91751,0,1.06252
0.782,3.92249,0,1.05978
0.783,3.92747,0,1.05703
0.784,3.93244,0,1.05427
0.785,3.93742,0,1.0515
0.786,3.9424,0,1.04872
0.787,3.94737,0,1.04593
0.788,3.95235,0,1.04313
0.789,3.95733,0,1.04032
0.79,3.9623,0,1.0375
0.791,3.96728,0,1.03467
0.792,3.97226,0,1.03183
0.793,3.97723,0,1.02898
0.794,3.98221,0,1.02612
0.795,3.98718,0,1.02325
0.796,3.99216,0,1.02037
0.797,3.99714,0,1.01749
0.798,4.00211,0,1.01459
0.799,4.00709,0,1.01168
0.8,4.01206,0,1.00876
0.801,4.01704,0,1.00583
0.802,4.02201,0,1.0029
0.803,4.02699,0,0.999948
0.804,4.03196,0,0.996991
0.805,4.03694,0,0.994024
0.806,4.04191,0,0.991047
0.807,4.04689,0,0.98806
0.808,4.05186,0,0.985064
0.809,4.05683,0,0.982057
0.81,4.06181,0,0.979041
0.811,4.06678,0,0.976015
0.812,4.07176,0,0.972979
0.813,4.07673,0,0.969933
0.814,4.0817,0,0.966877
0.815,4.08668,0,0.963812
0.816,4.09165,0,0.960737
0.817,4.09662,0,0.957652
0.818,4.1016,0,0.954557
0.819,4.10657,0,0.951452
0.82,4.11154,0,0.948337
0.821,4.11652,0,0.945213
0.822,4.12149,0,0.942078
0.823,4.12646,0,0.938934
0.824,4.13143,0,0.93578
0.825,4.13641,0,0.932617
0.826,4.14138,0,0.929443
0.827,4.14635,0,0.92626
0.828,4.15132,0,0.923066
0.829,4.15629,0,0.919863
0.83,4.16127,0,0.91665
0.831,4.16624,0,0.913427
0.832,4.17121,0,0.910195
0.833,4.17618,0,0.906952
0.834,4.18115,0,0.9037
0.835,4.18612,0,0.900438
0.836,4.1911,0,0.897166
0.837,4.19607,0,0.893884
0.838,4.20104,0,0.890592
0.839,4.20601,0,0.887291
0.84,4.21098,0,0.88398
0.841,4.21595,0,0.880658
0.842,4.22092,0,0.877327
0.843,4.22589,0,0.873987
0.844,4.23086,0,0.870636
0.845,4.23583,0,0.867276
0.846,4.2408,0,0.863905
0.847,4.24577,0,0.860525
0.848,4.25074,0,0.857135
0.849,4.25571,0,0.853735
0.85,4.26068,0,0.850326
0.851,4.26565,0,0.846906
0.852,4.27062,0,0.843477
0.853,4.27559,0,0.840038
0.854,4.28056,0,0.836589
0.855,4.28553,0,0.83313
0.856,4.29049,0,0.829661
0.857,4.29546,0,0.826183
0.858,4.30043,0,0.822694
0.859,4.3054,0,0.819196
0.86,4.31037,0,0.815688
0.861,4.31534,0,0.81217
0.862,4.32031,0,0.808643
0.863,4.32527,0,0.805105
0.864,4.33024,0,0.801558
0.865,4.33521,0,0.798001
0.866,4.34018,0,0.794434
0.867,4.34514,0,0.790857
0.868,4.35011,0,0.78727
0.869,4.35508,0,0.783674
0.87,4.36005,0,0.780067
